LocationKeyStartPoint,LocationKeyEndPoint,MetersBetweenPoints,MetersBetweenPoints_norm,LocationLookupKey,ResourceKey
2919,2919,0,0,2919|2919,1501
2922,2919,2962.61,1,2922|2919,1501
2923,2919,2815.39,1,2923|2919,1501
0,2919,1817.82,0.97,0|2919,1501
2919,2922,2962.61,1,2919|2922,1501
2922,2922,0,0,2922|2922,1501
2923,2922,1915.15,0.98,2923|2922,1501
0,2922,1372.9,0.96,0|2922,1501
2919,2923,2815.39,1,2919|2923,1501
2922,2923,1915.15,0.98,2922|2923,1501
2923,2923,0,0,2923|2923,1501
0,2923,1265.34,0.96,0|2923,1501
2919,0,1817.82,0.97,2919|0,1501
2922,0,1372.9,0.96,2922|0,1501
2923,0,1265.34,0.96,2923|0,1501
0,0,0,0,0|0,1501
0,0,0,0,0|0,1502
3603,0,30312.55,0.58,3603|0,1502
4429,0,28241.42,0.56,4429|0,1502
3251,0,54237.11,0.77,3251|0,1502
3299,0,30035.88,0.58,3299|0,1502
3301,0,40582.03,0.66,3301|0,1502
0,3603,30312.55,0.58,0|3603,1502
3603,3603,0,0,3603|3603,1502
4429,3603,6562.54,0.39,4429|3603,1502
3251,3603,83176.25,1,3251|3603,1502
3299,3603,1324.44,0.35,3299|3603,1502
3301,3603,69543.14,0.89,3301|3603,1502
0,4429,28241.42,0.56,0|4429,1502
3603,4429,6562.54,0.39,3603|4429,1502
4429,4429,0,0,4429|4429,1502
3251,4429,82231.09,0.99,3251|4429,1502
3299,4429,7653.67,0.4,3299|4429,1502
3301,4429,65765.55,0.86,3301|4429,1502
0,3251,54237.11,0.77,0|3251,1502
3603,3251,83176.25,1,3603|3251,1502
4429,3251,82231.09,0.99,4429|3251,1502
3251,3251,0,0,3251|3251,1502
3299,3251,82580.13,1,3299|3251,1502
3301,3251,37868.75,0.64,3301|3251,1502
0,3299,30035.88,0.58,0|3299,1502
3603,3299,1324.44,0.35,3603|3299,1502
4429,3299,7653.67,0.4,4429|3299,1502
3251,3299,82580.13,1,3251|3299,1502
3299,3299,0,0,3299|3299,1502
3301,3299,69548.91,0.89,3301|3299,1502
0,3301,40582.03,0.66,0|3301,1502
3603,3301,69543.14,0.89,3603|3301,1502
4429,3301,65765.55,0.86,4429|3301,1502
3251,3301,37868.75,0.64,3251|3301,1502
3299,3301,69548.91,0.89,3299|3301,1502
3301,3301,0,0,3301|3301,1502
3215,3215,0,0,3215|3215,1503
3226,3215,2641.75,0.28,3226|3215,1503
2924,3215,3217.31,0.28,2924|3215,1503
1256,3215,5913.63,0.29,1256|3215,1503
1625,3215,93809.96,0.72,1625|3215,1503
4410,3215,83131.52,0.66,4410|3215,1503
0,3215,14669.02,0.34,0|3215,1503
3215,3226,2641.75,0.28,3215|3226,1503
3226,3226,0,0,3226|3226,1503
2924,3226,1703.87,0.27,2924|3226,1503
1256,3226,3352.1,0.28,1256|3226,1503
1625,3226,96024.04,0.73,1625|3226,1503
4410,3226,80790.9,0.65,4410|3226,1503
0,3226,14699.97,0.34,0|3226,1503
3215,2924,3217.31,0.28,3215|2924,1503
3226,2924,1703.87,0.27,3226|2924,1503
2924,2924,0,0,2924|2924,1503
1256,2924,3143.38,0.28,1256|2924,1503
1625,2924,97026.11,0.73,1625|2924,1503
4410,2924,81527.45,0.66,4410|2924,1503
0,2924,16401.97,0.34,0|2924,1503
3215,1256,5913.63,0.29,3215|1256,1503
3226,1256,3352.1,0.28,3226|1256,1503
2924,1256,3143.38,0.28,2924|1256,1503
1256,1256,0,0,1256|1256,1503
1625,1256,99283.65,0.74,1625|1256,1503
4410,1256,78541.25,0.64,4410|1256,1503
0,1256,16387.77,0.34,0|1256,1503
3215,1625,93809.96,0.72,3215|1625,1503
3226,1625,96024.04,0.73,3226|1625,1503
2924,1625,97026.11,0.73,2924|1625,1503
1256,1625,99283.65,0.74,1256|1625,1503
1625,1625,0,0,1625|1625,1503
4410,1625,152790.21,1,4410|1625,1503
0,1625,87641.25,0.69,0|1625,1503
3215,4410,83131.52,0.66,3215|4410,1503
3226,4410,80790.9,0.65,3226|4410,1503
2924,4410,81527.45,0.66,2924|4410,1503
1256,4410,78541.25,0.64,1256|4410,1503
1625,4410,152790.21,1,1625|4410,1503
4410,4410,0,0,4410|4410,1503
0,4410,76451.13,0.63,0|4410,1503
3215,0,14669.02,0.34,3215|0,1503
3226,0,14699.97,0.34,3226|0,1503
2924,0,16401.97,0.34,2924|0,1503
1256,0,16387.77,0.34,1256|0,1503
1625,0,87641.25,0.69,1625|0,1503
4410,0,76451.13,0.63,4410|0,1503
0,0,0,0,0|0,1503
0,0,0,0,0|0,1504
3553,0,1629.93,0.97,3553|0,1504
3038,0,1629.81,0.97,3038|0,1504
0,3553,1629.93,0.97,0|3553,1504
3553,3553,0,0,3553|3553,1504
3038,3553,3259.74,1,3038|3553,1504
0,3038,1629.81,0.97,0|3038,1504
3553,3038,3259.74,1,3553|3038,1504
3038,3038,0,0,3038|3038,1504
3415,3415,0,0,3415|3415,1505
3607,3415,31735.87,1,3607|3415,1505
0,3415,15863.12,0.97,0|3415,1505
3415,3607,31735.87,1,3415|3607,1505
3607,3607,0,0,3607|3607,1505
0,3607,15872.77,0.97,0|3607,1505
3415,0,15863.12,0.97,3415|0,1505
3607,0,15872.77,0.97,3607|0,1505
0,0,0,0,0|0,1505
0,0,0,0,0|0,1508
3605,0,1728.01,0.92,3605|0,1508
3296,0,2388.22,0.93,3296|0,1508
3229,0,2729.77,0.94,3229|0,1508
1382,0,2611.42,0.94,1382|0,1508
0,3605,1728.01,0.92,0|3605,1508
3605,3605,0,0,3605|3605,1508
3296,3605,3806.07,0.97,3296|3605,1508
3229,3605,4389.62,0.98,3229|3605,1508
1382,3605,1073.01,0.9,1382|3605,1508
0,3296,2388.22,0.93,0|3296,1508
3605,3296,3806.07,0.97,3605|3296,1508
3296,3296,0,0,3296|3296,1508
3229,3296,2801.64,0.94,3229|3296,1508
1382,3296,4841.75,0.99,1382|3296,1508
0,3229,2729.77,0.94,0|3229,1508
3605,3229,4389.62,0.98,3605|3229,1508
3296,3229,2801.64,0.94,3296|3229,1508
3229,3229,0,0,3229|3229,1508
1382,3229,5064.12,1,1382|3229,1508
0,1382,2611.42,0.94,0|1382,1508
3605,1382,1073.01,0.9,3605|1382,1508
3296,1382,4841.75,0.99,3296|1382,1508
3229,1382,5064.12,1,3229|1382,1508
1382,1382,0,0,1382|1382,1508
3307,3307,0,0,3307|3307,1509
3417,3307,9131.17,1,3417|3307,1509
0,3307,4565.21,0.97,0|3307,1509
3307,3417,9131.17,1,3307|3417,1509
3417,3417,0,0,3417|3417,1509
0,3417,4565.96,0.97,0|3417,1509
3307,0,4565.21,0.97,3307|0,1509
3417,0,4565.96,0.97,3417|0,1509
0,0,0,0,0|0,1509
0,0,0,0,0|0,1512
4375,0,0,NULL,4375|0,1512
0,4375,0,NULL,0|4375,1512
4375,4375,0,0,4375|4375,1512
4147,4147,0,0,4147|4147,1514
0,4147,3584.09,0.97,0|4147,1514
3035,4147,7168.61,1,3035|4147,1514
4147,0,3584.09,0.97,4147|0,1514
0,0,0,0,0|0,1514
3035,0,3584.52,0.97,3035|0,1514
4147,3035,7168.61,1,4147|3035,1514
0,3035,3584.52,0.97,0|3035,1514
3035,3035,0,0,3035|3035,1514
0,0,0,0,0|0,1515
3597,0,0,NULL,3597|0,1515
0,3597,0,NULL,0|3597,1515
3597,3597,0,0,3597|3597,1515
3587,3587,0,0,3587|3587,1518
0,3587,2377.92,0.97,0|3587,1518
3241,3587,4755.61,1,3241|3587,1518
3587,0,2377.92,0.97,3587|0,1518
0,0,0,0,0|0,1518
3241,0,2377.68,0.97,3241|0,1518
3587,3241,4755.61,1,3587|3241,1518
0,3241,2377.68,0.97,0|3241,1518
3241,3241,0,0,3241|3241,1518
3404,3404,0,0,3404|3404,1519
2923,3404,1773.22,0.93,2923|3404,1519
0,3404,316.3,0.81,0|3404,1519
3627,3404,1020.83,0.87,3627|3404,1519
3404,2923,1773.22,0.93,3404|2923,1519
2923,2923,0,0,2923|2923,1519
0,2923,1497.78,0.9,0|2923,1519
3627,2923,2733.53,1,3627|2923,1519
3404,0,316.3,0.81,3404|0,1519
2923,0,1497.78,0.9,2923|0,1519
0,0,0,0,0|0,1519
3627,0,1242.09,0.88,3627|0,1519
3404,3627,1020.83,0.87,3404|3627,1519
2923,3627,2733.53,1,2923|3627,1519
0,3627,1242.09,0.88,0|3627,1519
3627,3627,0,0,3627|3627,1519
3570,3570,0,0,3570|3570,1521
3554,3570,13373.24,0.87,3554|3570,1521
0,3570,8950.91,0.81,0|3570,1521
4879,3570,15292.42,0.9,4879|3570,1521
4941,3570,12203.31,0.86,4941|3570,1521
2739,3570,15363.88,0.9,2739|3570,1521
3249,3570,16513.75,0.92,3249|3570,1521
3570,3554,13373.24,0.87,3570|3554,1521
3554,3554,0,0,3554|3554,1521
0,3554,12477.29,0.86,0|3554,1521
4879,3554,20005.41,0.97,4879|3554,1521
4941,3554,1909.45,0.7,4941|3554,1521
2739,3554,21476.5,0.99,2739|3554,1521
3249,3554,21891.98,1,3249|3554,1521
3570,0,8950.91,0.81,3570|0,1521
3554,0,12477.29,0.86,3554|0,1521
0,0,0,0,0|0,1521
4879,0,7969.29,0.79,4879|0,1521
4941,0,10593.01,0.83,4941|0,1521
2739,0,9110.54,0.81,2739|0,1521
